Date,Open,High,Low,Close
"Mar 21, 2024","3,089.55","3,107.10","3,059.60","3,066.50"
"Mar 20, 2024","3,075.00","3,083.20","3,021.10","3,051.45"
"Mar 19, 2024","3,126.00","3,164.80","3,041.85","3,052.70"
"Mar 18, 2024","3,050.10","3,124.00","2,976.05","3,111.75"
"Mar 15, 2024","3,111.00","3,143.40","3,061.25","3,132.20"
"Mar 14, 2024","2,927.45","3,101.20","2,880.00","3,087.45"
"Mar 13, 2024","3,125.00","3,138.05","2,850.15","2,906.20"
"Mar 12, 2024","3,207.35","3,222.70","3,111.00","3,122.50"
"Mar 11, 2024","3,241.20","3,259.00","3,200.00","3,207.35"
"Mar 7, 2024","3,240.00","3,262.00","3,220.00","3,226.55"
"Mar 6, 2024","3,323.00","3,323.00","3,183.15","3,233.95"
"Mar 5, 2024","3,325.30","3,334.00","3,295.05","3,310.20"
"Mar 4, 2024","3,335.00","3,350.00","3,310.05","3,317.15"
"Mar 1, 2024","3,309.85","3,346.00","3,281.80","3,318.75"
"Feb 29, 2024","3,220.05","3,304.75","3,205.35","3,285.40"
"Feb 28, 2024","3,309.20","3,318.80","3,207.50","3,219.00"
"Feb 27, 2024","3,339.00","3,340.00","3,273.00","3,302.30"
"Feb 26, 2024","3,272.00","3,344.00","3,263.00","3,327.75"
"Feb 23, 2024","3,263.05","3,319.95","3,225.10","3,273.30"
"Feb 22, 2024","3,239.00","3,274.00","3,210.50","3,263.05"
"Feb 21, 2024","3,238.00","3,300.00","3,205.00","3,223.20"
"Feb 20, 2024","3,267.00","3,269.80","3,210.15","3,228.60"
"Feb 19, 2024","3,240.00","3,308.60","3,235.80","3,258.80"
"Feb 16, 2024","3,214.00","3,252.30","3,192.65","3,223.60"
"Feb 15, 2024","3,219.85","3,252.75","3,184.05","3,193.80"
"Feb 14, 2024","3,184.00","3,255.25","3,169.85","3,207.20"
"Feb 13, 2024","3,180.00","3,194.00","3,092.05","3,178.45"
"Feb 12, 2024","3,229.00","3,241.95","3,160.00","3,169.75"
"Feb 9, 2024","3,184.45","3,224.95","3,121.20","3,215.20"
"Feb 8, 2024","3,245.60","3,245.60","3,146.10","3,168.60"
"Feb 7, 2024","3,220.05","3,277.95","3,210.00","3,229.85"
"Feb 6, 2024","3,183.90","3,228.20","3,160.00","3,203.75"
"Feb 5, 2024","3,170.00","3,229.40","3,151.45","3,173.45"
"Feb 2, 2024","3,184.95","3,208.50","3,140.00","3,157.45"
"Feb 1, 2024","3,156.90","3,236.95","3,083.05","3,153.50"
"Jan 31, 2024","3,092.75","3,151.70","3,072.40","3,142.00"
"Jan 30, 2024","3,081.00","3,129.90","3,020.90","3,091.10"
"Jan 29, 2024","2,929.00","3,092.70","2,923.05","3,064.65"
"Jan 25, 2024","2,903.45","2,926.35","2,804.40","2,893.60"
"Jan 24, 2024","2,901.00","2,929.10","2,871.25","2,903.45"
"Jan 23, 2024","3,014.95","3,014.95","2,885.50","2,896.55"
"Jan 19, 2024","2,945.35","2,949.45","2,903.05","2,915.65"
"Jan 18, 2024","2,975.55","2,985.00","2,885.10","2,918.90"
"Jan 17, 2024","3,033.00","3,045.00","2,946.30","2,971.05"
"Jan 16, 2024","3,095.00","3,104.50","3,035.00","3,056.50"
"Jan 15, 2024","3,127.00","3,130.00","3,067.45","3,089.50"
"Jan 12, 2024","3,096.35","3,125.00","3,068.20","3,104.10"
"Jan 11, 2024","3,120.00","3,129.00","3,065.00","3,080.90"
"Jan 10, 2024","3,024.00","3,112.00","3,020.05","3,098.20"
"Jan 9, 2024","2,990.70","3,068.80","2,980.00","3,014.60"
